Date,Price,Open,High,Low,Vol.,Change %
15-05-2026,77.547,84,84.38,76.09,75.01K,-9.12%
14-05-2026,85.328,88.125,89.165,83.625,54.85K,-4.52%
13-05-2026,89.368,87.32,90.105,86.33,54.97K,4.41%
12-05-2026,85.591,86.74,88,83.67,62.90K,-0.42%
11-05-2026,85.948,80.15,86.975,79.53,65.56K,6.29%
08-05-2026,80.865,78.8,82.16,78.58,38.34K,0.85%
07-05-2026,80.18,77.83,82.675,77.455,61.62K,3.72%
06-05-2026,77.303,73.3,78.335,73.05,48.50K,5.06%
05-05-2026,73.581,73.17,74.645,72.805,21.55K,0.08%
04-05-2026,73.522,76.455,76.53,72.6,37.62K,-3.81%
01-05-2026,76.431,74.315,77.525,73.435,34.64K,3.25%
30-04-2026,74.028,71.76,74.4,71.65,29.45K,2.69%
29-04-2026,72.088,73.505,74.425,71.31,36.95K,-1.90%
28-04-2026,73.484,76,76.26,72.225,1.98K,-2.40%
27-04-2026,75.291,75.97,76.76,74.945,1.02K,-2.14%
24-04-2026,76.94,76.21,77.18,74.4,25.99K,1.16%
23-04-2026,76.06,78.285,78.925,74.775,33.93K,-2.44%
22-04-2026,77.961,76.84,78.63,76.615,33.23K,1.93%
21-04-2026,76.488,79.845,80.38,75.38,53.54K,-4.44%
20-04-2026,80.038,80.24,80.755,78.715,41.30K,-2.20%
17-04-2026,81.842,78.665,83.245,77.77,48.69K,3.98%
16-04-2026,78.71,79.195,81.035,78.16,35.32K,-1.15%
15-04-2026,79.628,79.705,81.155,78.305,40.93K,0.12%
14-04-2026,79.533,75.655,79.8,75.605,51.73K,5.11%
13-04-2026,75.665,74.85,76,72.545,42.17K,-1.07%
10-04-2026,76.48,75.5,77.005,74.88,35.11K,0.05%
09-04-2026,76.438,74.3,76.84,72.925,42.68K,1.40%
08-04-2026,75.385,73.45,77.8,73.345,58.46K,4.72%
07-04-2026,71.987,72.86,73.61,69.78,39.44K,-1.18%
06-04-2026,72.847,72.72,73.735,71.335,19.20K,-0.11%
03-04-2026,72.924,75.15,75.985,69.61,,0.00%
02-04-2026,72.924,75.15,75.985,69.61,53.38K,-4.15%
01-04-2026,76.078,75.48,76.265,74,35.87K,1.55%
31-03-2026,74.919,70.245,75.625,69.1,45.39K,6.16%
30-03-2026,70.569,69.35,72.025,67.7,31.43K,1.45%
27-03-2026,69.561,68.415,71.035,67.34,0.39K,2.75%
26-03-2026,67.697,70.57,71.91,66.75,0.48K,-6.49%
25-03-2026,72.395,71.47,74.47,71.065,0.89K,4.44%
24-03-2026,69.319,69.655,71.2,65.91,0.63K,0.30%
23-03-2026,69.109,66.655,70.725,61.2,1.49K,-0.80%
20-03-2026,69.664,72.83,74.62,67.74,49.91K,-2.18%
19-03-2026,71.215,75.365,76.755,65.55,82.02K,-8.22%
18-03-2026,77.592,79.39,80.32,75.015,48.50K,-2.91%
17-03-2026,79.921,80.92,82.76,78.375,28.08K,-0.94%
16-03-2026,80.682,80.295,81.82,77.125,42.63K,-0.81%
13-03-2026,81.343,83.91,85.62,79.52,48.94K,-4.43%
12-03-2026,85.112,86.065,87.695,83.12,34.18K,-0.49%
11-03-2026,85.535,88.505,89.705,84.555,40.53K,-4.53%
10-03-2026,89.592,87.275,90.385,86.805,41.85K,6.00%
09-03-2026,84.523,84.62,87.405,79.64,46.18K,0.25%
06-03-2026,84.311,82.555,85.335,81.785,41.41K,2.59%
05-03-2026,82.181,83.895,85.75,80.565,49.37K,-1.21%
04-03-2026,83.184,82.4,87.07,81.74,45.68K,-0.35%
03-03-2026,83.473,89.69,91.605,78.06,100.36K,-6.05%
02-03-2026,88.853,96,97.3,86.725,81.85K,-4.76%
27-02-2026,93.291,89.075,94.76,88.305,55.74K,6.52%
26-02-2026,87.584,89.56,90.99,85.545,58.39K,-4.08%
25-02-2026,91.307,87.3,91.64,86.86,2.67K,3.99%
24-02-2026,87.807,88.61,89.03,85.54,1.49K,1.06%
23-02-2026,86.889,84.9,89.05,84.9,1.28K,5.52%
20-02-2026,82.343,78.475,84.645,77.285,57.45K,6.07%
19-02-2026,77.634,77.145,79.405,76.3,39.92K,0.05%
18-02-2026,77.598,73.58,78.32,72.25,46.41K,5.52%
17-02-2026,73.54,77.55,78.42,71.815,72.73K,-3.58%
16-02-2026,76.27,76.265,77.438,74.685,15.77K,-0.02%
15-02-2026,76.287,77.527,78.42,74.65,,-2.15%
13-02-2026,77.964,75.175,79.265,73.745,56.88K,3.02%
12-02-2026,75.682,84.125,84.875,74.37,91.03K,-9.82%
11-02-2026,83.92,80.5,86.12,80.415,64.91K,4.40%
10-02-2026,80.384,83.215,83.745,79.615,56.17K,-2.25%
09-02-2026,82.234,78.1,83.76,78.1,71.60K,6.94%
06-02-2026,76.895,70.36,77.92,63.9,111.21K,0.24%
05-02-2026,76.714,87.645,89.83,70.175,165.09K,-9.10%
04-02-2026,84.396,84.915,92.015,83,113.34K,1.31%
03-02-2026,83.301,79.22,89.1,79.01,127.59K,8.17%
02-02-2026,77.009,84.3,88,71.2,167.86K,-1.94%
30-01-2026,78.531,115.885,118.45,74,317.24K,-31.37%
29-01-2026,114.429,116.625,121.785,106.61,193.65K,1.12%
28-01-2026,113.162,112.095,117.03,110.495,1.44K,7.17%
27-01-2026,105.592,104.76,112.75,102.595,1.72K,-8.30%
26-01-2026,115.148,104.97,117.265,101.51,1.95K,13.63%
23-01-2026,101.333,96.32,103.53,96.22,139.09K,5.15%
22-01-2026,96.372,92.79,96.735,90.68,108.42K,4.03%
21-01-2026,92.637,94.55,95.53,90.15,128.65K,-2.11%
20-01-2026,94.636,90.605,95.78,90.5,199.93K,0.87%
19-01-2026,93.82,93.635,94.74,92.283,79.94K,-7.41%
18-01-2026,101.333,90.605,103.53,90.15,436.99K,14.45%
11-01-2026,88.537,80.505,93.7,79.9,897.43K,11.72%
06-01-2026,79.25,81.285,82.585,78.1,57.33K,-2.21%
05-01-2026,81.039,76.53,81.485,75.7,136.39K,5.72%
04-01-2026,76.657,73.08,77.835,72.505,131.25K,7.94%
01-01-2026,71.015,71.5,74.21,70.515,99.77K,0.58%
30-12-2025,70.603,76.065,76.275,69.255,148.60K,-9.39%
29-12-2025,77.919,71.685,78.065,70.67,168.12K,10.59%
28-12-2025,70.46,80,82.67,70.215,248.84K,-8.73%
25-12-2025,77.196,72.725,79.7,72.72,171.24K,7.69%
23-12-2025,71.685,71.68,72.75,70.16,94.82K,0.77%
22-12-2025,71.137,69.08,71.795,68.725,128.80K,3.75%
21-12-2025,68.565,67.55,69.525,67.47,98.56K,1.59%
18-12-2025,67.489,65.415,67.68,64.465,96.49K,3.48%
17-12-2025,65.219,66.51,66.825,64.675,111.67K,-2.51%
16-12-2025,66.901,63.795,67.18,63.725,147.11K,5.65%
15-12-2025,63.323,64.11,64.205,62.115,95.99K,2.12%
11-12-2025,62.007,63.985,65.085,61.015,189.23K,-4.00%
10-12-2025,64.592,62.235,64.72,61.78,134.40K,5.84%
